"WAVE_NUMBER","INTL_ECONOMICIMPACT","STATE_VEHICLES_V1","STATE_VEHICLES_V2","CARBONTAX_COST10PCT","CARBONTAX_COST15DOL","CARBONTAX_COST50DOL","CARBONTAX_SUPPORT_BI","STATE_RPS_ECONOMY","GW_BELIEF","GW_CONCERN","BELIEVER_IMMEDIACY","GOVT_EFFECTIVENESS","GOVT_FED","STATE_NEIGHBORSACT","GASTAX_GOVT","FFTAX_GOVT","CAPTRADE_GOVT_V1","GOVT_EFFECTIVENESS_V2","STATE_RPS_V1","STATE_RPS_V2","STATE_RPS_V2_COST100","STATE_RPS_V3","STATE_RPS_V3_COST25","STATE_RPS_V3_COST50","DEMOG_EDU","DEMOG_POLVIEWS","DEMOG_RELIG","CARBONTAX_SUPPORT"
" 2017/01/01","(4) Strongly disagree","(1) Strongly support",NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(4) College  graduate","Moderate","(6) Other",NA
" 2017/01/01","(3) Somewhat disagree","(2) Somewhat support",NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,"(4) Strongly oppose",NA,NA,NA,NA,"(4) College  graduate","Moderate","(1) Protestant",NA
" 2017/01/01","(1) Strongly agree","(4) Strongly oppose",NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,"(2) Some responsibility",NA,NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(4) College  graduate","Conservative","(1) Protestant",NA
" 2017/01/01","(4) Strongly disagree","(2) Somewhat support",NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,"(2) Somewhat support",NA,NA,NA,NA,"(3) Some college or technical school","Liberal","(2) Catholic",NA
" 2017/01/01","(3) Somewhat disagree","(1) Strongly support",NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,"(4) College  graduate","Moderate","(6) Other",NA
" 2014/01/01",NA,NA,NA,"(4) Strongly oppose",NA,NA,"Not willing to pay",NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(5) Graduate or professional degree","Conservative","(1) Protestant","Not willing to pay"
" 2011/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes","(01) Very concerned",NA,NA,"(1) A great deal of responsibility",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","Moderate","(1) Protestant",NA
" 2014/01/01",NA,NA,NA,"(3) Somewhat oppose",NA,NA,"Not willing to pay",NA,"(1) Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(3) Some college or technical school","Liberal","(1) Protestant","Not willing to pay"
" 2017/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(2) No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(4) College  graduate","Moderate",NA,NA
" 2013/01/01",NA,NA,NA,NA,NA,NA,NA,NA,"(1) Yes",NA,"(1) Yes",NA,NA,"(4) Strongly disagree",NA,NA,NA,NA,"(1) Strongly support",NA,NA,NA,NA,NA,"(3) Some college or technical school","Liberal",NA,NA
